快速碼,商品代號,商品名稱,款式號碼,商品條碼,國際條碼,主供應商名稱,大分類代號,大分類名稱,年度,季節,成本幣別代號,未稅標準成本,含稅標準成本,銷貨幣別代號,未稅標準定價,含稅標準定價
2424,ML024BR24,M-L024｜棕色 24｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
2425,ML024BR25,M-L024｜棕色 25｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
24225,ML024BK225,M-L024｜黑色 22.5｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
24235,ML024BK235,M-L024｜黑色 23.5｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
2423,ML024BK23,M-L024｜黑色 23｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
24245,ML024BK245,M-L024｜黑色 24.5｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
2424,ML024BK24,M-L024｜黑色 24｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
2425,ML024BK25,M-L024｜黑色 25｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
27225,ML027WT225,M-L027｜白色 22.5｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
27235,ML027WT235,M-L027｜白色 23.5｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
2723,ML027WT23,M-L027｜白色 23｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
27245,ML027WT245,M-L027｜白色 24.5｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
2724,ML027WT24,M-L027｜白色 24｜ 日本GRL厚底細帶方頭涼鞋E.,ML027,,,日本,Z,選品,,,NTD,595.24,625,NTD,"1,124","1,180"
